model,metric,mean,ci_low,ci_high
subject_age_mae_gap_residual_transformer_lambda0p8_seed4096,r2,-0.059869545463274026,-0.5271585614804154,0.22472137892861585
subject_age_mae_gap_residual_transformer_lambda0p8_seed4096,gender_gap,0.03164533519588077,0.00012195030435066118,0.09185799497625385
subject_age_mae_gap_residual_transformer_lambda0p8_seed4096,gender_worst_group_mae,0.3119708302064929,0.2764196628751336,0.3534183261333188
subject_age_mae_gap_residual_transformer_lambda0p8_seed4096,age_gap,0.10016453131298306,0.015685147958737936,0.20082930852193545
subject_age_mae_gap_residual_transformer_lambda0p8_seed4096,age_worst_group_mae,0.3378870975841194,0.3038618333846779,0.4183821853343731
subject_age_mae_gap_residual_transformer_lambda0p8_seed7000,mae,0.2965997979653684,0.2413100996684966,0.38525085647725665
subject_age_mae_gap_residual_transformer_lambda0p8_seed7000,rmse,0.38792510363218063,0.3157562788149454,0.4912835355807893
subject_age_mae_gap_residual_transformer_lambda0p8_seed7000,r2,-0.06924266013492034,-0.6449447107314167,0.3299482435976748
subject_age_mae_gap_residual_transformer_lambda0p8_seed7000,gender_gap,0.06749458537411059,0.00031322964632401893,0.19304765894308612
subject_age_mae_gap_residual_transformer_lambda0p8_seed7000,gender_worst_group_mae,0.32169843920232494,0.24810476468173154,0.4349439806776607
subject_age_mae_gap_residual_transformer_lambda0p8_seed7000,age_gap,0.15683699580565738,0.022489331055672843,0.33322835713279486
subject_age_mae_gap_residual_transformer_lambda0p8_seed7000,age_worst_group_mae,0.3730306535290221,0.2624446477963702,0.5349983361048024
subject_age_mae_gap_residual_transformer_lambda0p8_seed8192,mae,0.2825258888022347,0.2453447193858768,0.31846633504462546
subject_age_mae_gap_residual_transformer_lambda0p8_seed8192,rmse,0.3641022344731211,0.3217647066928851,0.4053571358013837
subject_age_mae_gap_residual_transformer_lambda0p8_seed8192,r2,0.07145188251374975,-0.1322491096630516,0.22277572245325522
subject_age_mae_gap_residual_transformer_lambda0p8_seed8192,gender_gap,0.0339964278958663,0.0004694541096916959,0.09932584771464711
