run_seed,model,attribute,attention_bin,age_group,n_samples,n_subjects,window_mae,subject_balanced_mae,gender
4096,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.3299843828276833,0.4602499879612456,
4096,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.8244172271929289,0.8244172271929289,
4096,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.7631659195071361,0.8049199585851797,
4096,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.841997023991176,0.841997023991176,
4096,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.4606821090054799,0.45153228999881184,female
4096,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.2541288537588733,0.28057650932692285,male
4096,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.21039194215175716,0.1992555231214047,female
4096,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.1721095521897134,0.1783839424184751,male
4096,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.33426554422774074,0.3497439271158245,female
4096,subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.545444552002439,0.5413767937077134,male
4096,subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.538149486406885,0.6139588988176625,female
4096,subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.8712521222100329,0.8675293083701118,male
7000,subject_age_gap,age_group,"(1.999, 2.5]","(13.0, 20.0]",1025,3,0.36021170150942916,0.37408071005279425,
7000,subject_age_gap,age_group,"(1.999, 2.5]","(20.0, 22.0]",663,2,0.3998013459719144,0.40079318992610047,
7000,subject_age_gap,age_group,"(1.999, 2.5]","(22.0, 26.0]",1892,3,0.2303922647653624,0.22797638715447355,
7000,subject_age_gap,age_group,"(1.999, 2.5]","(26.0, 44.0]",205,1,0.3342023919268352,0.3342023919268352,
7000,subject_age_gap,age_group,"(2.5, 3.0]","(13.0, 20.0]",2996,3,0.1925467134954455,0.1879650535424381,
7000,subject_age_gap,age_group,"(2.5, 3.0]","(20.0, 22.0]",1717,2,0.1548606749530719,0.1581221579084225,
7000,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.23865844135966544,0.22044682276773594,
7000,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.1316600103795676,0.1316600103795676,
7000,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.28634809027064034,0.3144976301615758,
7000,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.44080995488911867,0.41852654861063443,
7000,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.5792401013902041,0.4760937275390566,
7000,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.43946182580641757,0.43946182580641757,
7000,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.4429552472463929,0.5940506331956209,
7000,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.7739414604086625,0.7739414604086625,
7000,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.9830331885423816,0.9735616011074489,
7000,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.7517256396157401,0.7517256396157401,
7000,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.35526726366525674,0.33642766704973326,female
7000,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.2348066488901774,0.30779802036748,male
7000,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.20437005500114241,0.1992998725984715,female
7000,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.15387969544832586,0.1591135731787019,male
7000,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.46846530382534324,0.37219992715513944,female
7000,subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.4782826013625807,0.47169647773291556,male
7000,subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.8316926734616058,0.7833122951030118,female
7000,subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.7956322965337269,0.767523830908068,male
