run_seed,model,attribute,attention_bin,gender,n_samples,n_subjects,window_mae,subject_balanced_mae,age_group
2027,baseline,age_group,"(1.999, 2.5]",,1025,3,0.4265878488959336,0.41730878713550384,"(13, 20]"
2027,baseline,age_group,"(1.999, 2.5]",,663,2,0.49748533271916134,0.49337072509458696,"(20, 22]"
2027,baseline,age_group,"(1.999, 2.5]",,2150,3,0.4469260946539945,0.4257067425669317,"(22, 26]"
2027,baseline,age_group,"(1.999, 2.5]",,205,1,0.2890753618100794,0.2890753618100794,"(26, 44]"
2027,baseline,age_group,"(2.5, 3.0]",,2996,3,0.22775768302629723,0.23309093610280315,"(13, 20]"
2027,baseline,age_group,"(2.5, 3.0]",,1717,2,0.19645175436727516,0.1889217169697055,"(20, 22]"
2027,baseline,age_group,"(2.5, 3.0]",,2209,3,0.1519139214520435,0.14967365147918235,"(22, 26]"
2027,baseline,age_group,"(2.5, 3.0]",,1211,1,0.14716116836699053,0.14716116836699053,"(26, 44]"
2027,baseline,age_group,"(3.0, 3.5]",,772,3,0.27353290263852925,0.27862407329712435,"(13, 20]"
2027,baseline,age_group,"(3.0, 3.5]",,512,2,0.3351497557014227,0.3174324060415394,"(20, 22]"
2027,baseline,age_group,"(3.0, 3.5]",,1509,3,0.3759393679376783,0.3729344135803155,"(22, 26]"
2027,baseline,age_group,"(3.0, 3.5]",,162,1,0.5102482474880454,0.5102482474880454,"(26, 44]"
2027,baseline,age_group,"(3.5, 4.75]",,202,3,0.5182919502258301,0.5888958275416992,"(13, 20]"
2027,baseline,age_group,"(3.5, 4.75]",,38,2,0.7532969211277208,0.7532969211277208,"(20, 22]"
2027,baseline,age_group,"(3.5, 4.75]",,488,3,0.8218872307753954,0.8205003201770383,"(22, 26]"
2027,baseline,age_group,"(3.5, 4.75]",,35,1,0.7298747675759452,0.7298747675759452,"(26, 44]"
2027,subject_gender_gap,gender,"(1.999, 2.5]",female,2333,6,0.4969426146710425,0.4505577736357127,
2027,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3174222380097149,0.32103747424891266,
2027,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.2017824384275564,0.19687748804624505,
2027,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.16290907807203245,0.1620261101287532,
2027,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.30569383120207194,0.29211693614135315,
2027,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4163546140026894,0.42234013653177865,
2027,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.6402430664409291,0.6904968626690225,
2027,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7396081668227467,0.7496914980056523,
2027,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3900509034133539,0.4081659797073798,"(13, 20]"
2027,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.43534376502576455,0.43173835172833286,"(20, 22]"
2027,subject_gender_gap,age_group,"(1.999, 2.5]",,2150,3,0.4435316434017448,0.4283874552954782,"(22, 26]"
2027,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.2933220560957746,0.2933220560957746,"(26, 44]"
2027,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.22904597933047285,0.2242676889827494,"(13, 20]"
2027,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.18400699035608983,0.1815926801795742,"(20, 22]"
2027,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.1504413374628401,0.1541863100431579,"(22, 26]"
2027,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.16879590122685956,0.16879590122685956,"(26, 44]"
2027,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.2396185855173694,0.2503760572605028,"(13, 20]"
2027,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.40010699443519115,0.37915279710067856,"(20, 22]"
2027,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.34833177278340455,0.34968248311603434,"(22, 26]"
2027,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.46124081111248627,0.46124081111248627,"(26, 44]"
2027,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.44172412098044217,0.54488431332914,"(13, 20]"
2027,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.8115239708047164,0.8115239708047164,"(20, 22]"
2027,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.7632576432384428,0.8295526116898196,"(22, 26]"
2027,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.645696953364781,0.645696953364781,"(26, 44]"
2028,baseline,gender,"(1.999, 2.5]",female,2333,6,0.49725545653446623,0.4653980089986632,
2028,baseline,gender,"(1.999, 2.5]",male,1710,3,0.47847761285235313,0.49561301100817196,
2028,baseline,gender,"(2.5, 3.0]",female,5504,6,0.1806834909718397,0.17603855095291052,
2028,baseline,gender,"(2.5, 3.0]",male,2629,3,0.1676651900963622,0.16969599242756736,
2028,baseline,gender,"(3.0, 3.5]",female,2170,6,0.28161837153720415,0.2930563572575648,
2028,baseline,gender,"(3.0, 3.5]",male,785,3,0.32701208272557347,0.31754494167559155,
2028,baseline,gender,"(3.5, 4.75]",female,495,6,0.5881468671740908,0.6923393693567684,
2028,baseline,gender,"(3.5, 4.75]",male,268,3,0.6264454571168814,0.606052944805551,
2028,baseline,age_group,"(1.999, 2.5]",,1025,3,0.44291898425032455,0.44416901460122166,"(13, 20]"
2028,baseline,age_group,"(1.999, 2.5]",,663,2,0.525669925712712,0.5250860584845749,"(20, 22]"
2028,baseline,age_group,"(1.999, 2.5]",,2150,3,0.49828589395035144,0.46231612748762174,"(22, 26]"
2028,baseline,age_group,"(1.999, 2.5]",,205,1,0.5095995437808153,0.5095995437808153,"(26, 44]"
2028,baseline,age_group,"(2.5, 3.0]",,2996,3,0.18832810181323614,0.18593795306749517,"(13, 20]"
2028,baseline,age_group,"(2.5, 3.0]",,1717,2,0.20565457363495246,0.19838159886943924,"(20, 22]"
2028,baseline,age_group,"(2.5, 3.0]",,2209,3,0.14820386684550696,0.15113056826596752,"(22, 26]"
2028,baseline,age_group,"(2.5, 3.0]",,1211,1,0.15735052126089863,0.15735052126089863,"(26, 44]"
2028,baseline,age_group,"(3.0, 3.5]",,772,3,0.27081709204560117,0.27540747709028085,"(13, 20]"
2028,baseline,age_group,"(3.0, 3.5]",,512,2,0.3839137814939022,0.3695228714350376,"(20, 22]"
2028,baseline,age_group,"(3.0, 3.5]",,1509,3,0.27630887037875085,0.28883243232133865,"(22, 26]"
2028,baseline,age_group,"(3.0, 3.5]",,162,1,0.2792074974672294,0.2792074974672294,"(26, 44]"
2028,baseline,age_group,"(3.5, 4.75]",,202,3,0.48980438591230036,0.5652266960832016,"(13, 20]"
2028,baseline,age_group,"(3.5, 4.75]",,38,2,0.7024420311576441,0.7024420311576443,"(20, 22]"
2028,baseline,age_group,"(3.5, 4.75]",,488,3,0.6452306802155542,0.7808843316638039,"(22, 26]"
2028,baseline,age_group,"(3.5, 4.75]",,35,1,0.528977905000959,0.528977905000959,"(26, 44]"
2028,subject_gender_gap,gender,"(1.999, 2.5]",female,2333,6,0.48001493030078823,0.40886869094572836,
2028,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3479899491483008,0.35854450828691564,
2028,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.18406255898434062,0.1775138595832799,
2028,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.16568990250693025,0.17059467172978385,
2028,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.34941452604285034,0.3221173468767588,
2028,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.3968844981709863,0.3915982719468232,
2028,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.7360828447823573,0.7542394168389666,
2028,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7750499782277577,0.7251747626998957,
2028,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.41650606294957604,0.3841840160362999,"(13, 20]"
2028,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.39536535470194406,0.39439164242198965,"(20, 22]"
2028,subject_gender_gap,age_group,"(1.999, 2.5]",,2150,3,0.44260433640590935,0.40836949875192663,"(22, 26]"
2028,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.3624018413264577,0.3624018413264577,"(26, 44]"
2028,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.18992714713189568,0.18612480330328662,"(13, 20]"
2028,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.1982407156089467,0.19646045470095275,"(20, 22]"
2028,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.1641475817584085,0.15989305965080744,"(22, 26]"
2028,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.1458926744248432,0.1458926744248432,"(26, 44]"
2028,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.27963938614247374,0.28523985663458395,"(13, 20]"
2028,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.3627491034567356,0.35411382333185226,"(20, 22]"
2028,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.40398539510920317,0.39402186823221025,"(22, 26]"
2028,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.36148607583693515,0.36148607583693515,"(26, 44]"
2028,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.5287224361211946,0.6012151646376842,"(13, 20]"
2028,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.7705655474411813,0.7705655474411814,"(20, 22]"
2028,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.8511174668054111,0.9221027750458423,"(22, 26]"
2028,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.5898758752005441,0.5898758752005441,"(26, 44]"
